model,horizon,rmse,mae,mape_%,n_predictions
ARIMA,1,0.0027,0.0018,255.15,324
LightGBM,1,0.0029,0.002,278.34,324
Naive,1,0.0031,0.0022,294.04,324
ARIMA,1,0.0337,0.0236,92.59,324
LightGBM,1,0.0337,0.023,88.98,324
Naive,1,0.0477,0.0334,127.36,324
ARIMA,2,0.0028,0.0019,256.96,323
LightGBM,2,0.003,0.002,283.64,323
Naive,2,0.0032,0.0023,293.17,323
LightGBM,2,0.1386,0.0344,95.17,323
ARIMA,2,0.1443,0.0336,98.03,323
Naive,2,0.1958,0.0466,132.84,323
ARIMA,4,0.0027,0.0018,252.94,321
LightGBM,4,0.0029,0.002,282.77,321
Naive,4,0.0031,0.0022,292.88,321
ARIMA,4,0.0308,0.0229,93.91,321
LightGBM,4,0.0313,0.023,94.9,321
Naive,4,0.0402,0.0314,127.48,321
